id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
644266602550796203,Casa vacanza Monalba sul lago di Iseo,76149567,Marisa Rosaria,,Predore,45.6815,10.00762,Entire home/apt,146,2,3,2023-06-06,0.13,14,102,0,
644941392817888618,Rosa Mountain Lake Iseo Hospitality,463267464,Rosamaria,,Bossico,45.82959,10.04314,Entire home/apt,104,2,0,,,1,130,0,01603300040
645407617470153067,Ampia camera matrimoniale in villetta con giardino,185840854,Heidi,,Albano Sant'Alessandro,45.69383,9.77089,Private room,40,1,18,2024-05-24,0.76,2,263,7,
645491863259469312,Fabula Home Rental - La Rocca,459668682,Lara,,Castro,45.80363149197424,10.056999821426382,Entire home/apt,88,1,12,2024-06-25,0.50,24,83,6,016065-LNI-00001
647046184633935845,Casa singola  con parcheggio /Fuga in montagna,429084901,Alfiya,,Oltre il Colle,45.8893,9.78036,Private room,42,1,9,2022-09-11,0.37,8,333,0,
648354617801257542,Confortevole monolocale a Treviglio,462054122,Svitlana Yuriyivna,,Treviglio,45.51759,9.60225,Entire home/apt,45,1,19,2024-06-11,0.79,1,61,10,
649729659153142702,B&B con SPA Il Castello di Luca West 2,457720640,Luca,,Ponteranica,45.74011,9.67536,Private room,90,1,5,2023-10-10,0.21,3,363,1,016169-BEB-00014
650487673109538883,"Ey Home 
Charme & Relax",464533348,Nicola,,Bergamo,45.70289919868813,9.672610342327891,Entire home/apt,103,2,10,2024-04-15,0.43,1,137,1,
650602453219781470,Studio apartment n. 8,451620630,Duemila,,Almenno San Salvatore,45.75579,9.60387,Entire home/apt,116,5,1,2022-09-12,0.05,11,304,0,
650605604472133821,RESIDENZA COCCINELLE VISTA LAGO D'ISEO,76149567,Marisa Rosaria,,Tavernola Bergamasca,45.71158,10.04101,Entire home/apt,127,2,0,,,14,170,0,
651121972043421039,Casa Dea 2.,458074649,Gabriella,,Seriate,45.68313,9.72032,Entire home/apt,80,1,31,2024-06-02,1.27,2,58,5,016198-LNI-00007
651178973040685850,"Camera 2 BG Stay, matrimoniale con bagno privato",69043748,Piano,,Bergamo,45.6869,9.65806,Private room,98,1,0,,,5,282,0,CIR: 016024-FOR-00281
651295215246728500,Agave Apartment Charme&Relax con posto auto,464715739,Solarya,,Bergamo,45.6838163472075,9.66232945656274,Entire home/apt,86,1,92,2024-06-27,3.77,2,316,40,016024-CIM-00555
652870558386760632,Appartamento Van Gogh,356913474,Mauro,,Bergamo,45.6931,9.67119,Entire home/apt,94,1,74,2024-06-29,3.00,6,278,30,
653311714704020019,Appartamento con vista sul tramonto,465142647,Franca,,Selvino,45.78931156430717,9.755400749737552,Entire home/apt,87,2,25,2024-06-15,1.03,3,128,5,
653999973569537884,Il giardino di Luy Apartment,465316173,Maria Luisa,,Bergamo,45.6923,9.66247,Entire home/apt,164,2,31,2024-04-23,1.34,1,302,8,
654118922687839360,TreeTentItaly_Dormi sospeso tra gli alberi_Abete,449496312,Paola,,Solto Collina,45.78281,10.02305,Entire home/apt,,1,2,2023-04-12,0.09,3,270,0,
654147257475496946,Delia,341256587,Daniela,,Gromo,45.96524,9.92562,Entire home/apt,90,2,5,2022-11-01,0.21,1,273,0,
654378434180995094,"ASTRA - Modern Loft 
Cathedral View",108143695,Sara,,Bergamo,45.7033684,9.6634503,Entire home/apt,200,1,47,2024-02-16,1.92,3,121,17,016024-CIM-00593
654864576426852568,LA TORRE DEL MANGHEN: Agri-alloggio indipendente,465237857,Giovanni,,Rota d'Imagna,45.83188,9.52176,Entire home/apt,220,1,27,2024-06-22,1.13,1,201,21,
654910109514426797,city center 2 bedroom apt,352174639,Hyounkyoung,,Bergamo,45.6885833,9.6621025,Entire home/apt,81,1,72,2024-06-18,2.98,1,289,30,T02119
654928694241847127,MARGHERITA'S HOME,131153491,Feel At Home,,Lovere,45.815542556103914,10.07341410721572,Entire home/apt,56,6,1,2022-08-10,0.04,20,332,0,016128-CNI-00051
655113909090729070,comodo appartamento nel cuore di Bergamo.,465595744,Mariana Estrella,,Bergamo,45.68629,9.67931,Entire home/apt,80,1,3,2022-08-19,0.13,1,363,0,3892439602
655634277152823577,"CA' FONTA'
MONOLOCALE RUSTICO IMMERSO NEL VERDE",465703359,Paolo Francesco,,San Pellegrino Terme,45.836201,9.65374,Entire home/apt,59,1,62,2024-05-26,2.55,1,344,28,
656135869700187756,CASA ANGELA,131153491,Feel At Home,,Ranzanico,45.79263277891815,9.942639998703017,Entire home/apt,65,7,6,2023-09-04,0.26,20,344,2,
656179325447948956,Pottery Home in the Vineyard -15 min from Bergamo,154651199,Miriam,,Almenno San Salvatore,45.74814314541192,9.586005458584394,Entire home/apt,350,2,11,2024-05-29,0.47,1,341,6,
656180449745018165,Ampio appartamento in centro Clusone con giardino,450562836,Sofia,,Clusone,45.8890493,9.9452348,Entire home/apt,97,28,1,2023-08-31,0.10,1,336,1,
656409267377504568,Grazioso appartamento a seriate,465880818,Francesca,,Seriate,45.67864,9.72183,Entire home/apt,60,2,3,2022-08-27,0.13,1,362,0,
656425552350234141,Camera Singola Standard,61048133,Maria Grazia,,Bergamo,45.69063,9.66637,Private room,43,1,29,2024-06-14,1.24,2,200,11,
657187950970831013,Appartamento di design con camino e box privato,466045656,Massimo,,Dossena,45.88036725012762,9.698320291936398,Entire home/apt,150,1,4,2023-08-19,0.17,1,357,2,
657589513599620773,Relaxing apartment 💚City Center & Orio Airport,322035757,Dimitri,,Bergamo,45.68485,9.6759,Entire home/apt,113,1,24,2024-05-20,1.06,8,266,17,016024-CIM-00596
658547489701842837,Appartamento con balcone e ampio cortile,465142647,Franca,,Selvino,45.7903,9.75551,Entire home/apt,90,2,3,2023-07-14,0.12,3,118,1,
659769590259335471,Appartamento-Foppolo,175702031,Narineh,,Foppolo,46.0411368,9.760225700000001,Entire home/apt,90,1,5,2024-02-13,0.47,1,58,5,016103-CNI-00005
660450879466749392,Solemahouse - The Bright Attic,466850572,Samanta,,Bergamo,45.68957,9.66792,Entire home/apt,60,3,53,2024-06-23,2.24,1,333,25,
660765077809445542,Holiday 🤍 Open space in Bergamo& Orio airport,322035757,Dimitri,,Bergamo,45.68329,9.67389,Entire home/apt,96,1,59,2024-06-24,2.43,8,264,32,016024-CIM-00596
660873625191664711,Incantevole monolocale con terrazza,104490013,Roberto,,Bergamo,45.6925101,9.702481299999999,Entire home/apt,85,5,0,,,2,106,0,
661221376056018214,Appartamento San Felice sul lago d'Endine,467033335,Mariella,,Endine Gaiano,45.77665,9.94475,Entire home/apt,70,2,36,2024-01-01,1.51,1,320,9,
661287175106382430,Ca’mera Mia,133775104,Eleonora,,Rovetta,45.89517,9.98002,Private room,63,1,8,2024-06-13,1.17,2,355,8,
662774557666043208,Top Floor Apartment in Bergamo,40082322,Mauro,,Bergamo,45.69627,9.6512,Entire home/apt,95,2,62,2024-06-21,4.16,1,59,48,
662933855324506401,Appartamento in centro a Clusone,120891330,Salvatore,,Clusone,45.89102165331312,9.94923323392868,Entire home/apt,70,20,4,2023-09-01,0.17,1,363,2,3314560253
664046182990988344,Monolocale grazioso Ponte della Selva Clusone,107255530,Daniela,,Clusone,45.8727122,9.9010872,Entire home/apt,50,6,2,2024-03-05,0.19,1,327,2,
664194676180565743,"Appartamento ""The Tourist""",133330111,Agnese,,Solto Collina,45.78119,10.02471,Entire home/apt,,5,0,,,4,323,0,
665050856175985636,Appartamento incantevole Bergamo,467967173,Mariagrazia,,Bergamo,45.70348,9.66369,Entire home/apt,150,2,4,2023-04-08,0.17,1,224,0,
665733962675528985,"Camel Bungalow1Double Bed,2Single Bed,Mountain-BG",439074505,Travelnest,,Onore,45.89609,10.00127,Entire home/apt,100,1,0,,,1,362,0,
666409525221931385,Attico Tre Cuori Castione,3587483,Lara,,Castione della Presolana,45.913452727124245,10.045610985582528,Entire home/apt,122,3,20,2024-05-05,1.85,1,81,20,016064-LNI-00006
666503975757678887,Affittimoderni Castione della Presolana - Capr01,21763382,Compagnie Immobiliari Associate,,Castione della Presolana,45.90151,10.02649,Entire home/apt,94,1,0,,,13,68,0,
666555816369098900,IseoLakeRental - La Filandina,30792380,Nala Srl,,Riva di Solto,45.77368,10.03941,Entire home/apt,154,4,4,2023-10-30,0.18,47,88,1,016180-LNI-00013
667786409107383517,Italian Vacation Homes - Panoramic Villa,35911100,Luigi,,Parzanica,45.7326573,10.047779,Entire home/apt,199,1,13,2024-05-04,0.57,17,151,6,
667907233671328721,Casetta con Patio,295130289,Paola,,Parre,45.87736,9.89315,Entire home/apt,71,2,7,2024-06-24,0.31,1,139,2,
668544147205743832,Hiking/biking Alpine retreat for families,157761266,Riccardo,,Valbondione,46.033187740207225,10.00724673121339,Entire home/apt,86,2,12,2024-05-12,0.65,1,111,5,016223-CNI-00004
669459917582080620,La corte antica,469082790,Sofia,,Bergamo,45.6980498,9.6791925,Entire home/apt,71,2,105,2024-06-23,4.44,1,346,50,016024-CNI-00552
669968158504517386,IseoLakeRental - Appartamento Caterina,30792380,Nala Srl,,Ranzanico,45.793523,9.942971,Entire home/apt,134,3,8,2023-08-24,0.35,47,344,6,016179-LNI-00004
670710958000974000,Borgovivo Loft B il tuo rifugio in centro città,145285991,Giampietro,,Bergamo,45.6966,9.68166,Entire home/apt,182,1,19,2024-06-05,0.82,7,157,10,
670720113177908153,Borgovivo Loft A il tuo rifugio in centro città,145285991,Giampietro,,Bergamo,45.69715,9.6811,Entire home/apt,189,1,17,2023-09-08,0.73,7,183,4,
671502901405381639,Appartamento ultimo piano con balcone e soppalco,335849766,Cristian,,Foppolo,46.04232545142729,9.757701959924319,Entire home/apt,460,31,1,2023-08-11,0.09,6,179,1,
671512515171317085,Duplex B2 - 6pax - Chalet Ronchi,335849766,Cristian,,Foppolo,46.04366,9.75823,Entire home/apt,185,3,1,2024-02-04,0.20,6,335,1,
671512606491788327,Attico A10 - 4pax - Chalet Ronchi,335849766,Cristian,,Foppolo,46.04259,9.75745,Entire home/apt,,3,2,2022-10-31,0.09,6,0,0,
672237575704934812,MEH2 Suite matrimoniale,22139708,Elena,,Martinengo,45.56916,9.76276,Private room,22,31,2,2023-04-06,0.12,10,119,0,
672313888705994627,MEH1 - Comoda camera singola,22139708,Elena,,Martinengo,45.5679,9.76094,Private room,18,31,3,2023-08-01,0.14,10,83,1,
673090165630121566,FEEL - Central Terrace,384031133,Feel,,Bergamo,45.699,9.66666,Entire home/apt,185,1,3,2022-09-11,0.13,35,330,0,
673247631957397300,Nido in montagna Mountain Lake Iseo Hospitality,470041119,Luigi,,Bossico,45.82737,10.04488,Entire home/apt,113,3,1,2023-07-24,0.09,1,58,1,016033-CNI-00043
673676885425936487,Iseo Lake Villa con vista lago e piscina,195539562,Aleksandra,,Costa Volpino,45.8259875,10.0807569,Entire home/apt,316,2,24,2024-06-24,1.09,1,294,11,016086-CNI-00017
